J1,J12,J16,J18,J21,J23,J3,J7,J9,K10,K12,K15,K17,K18,K2,K22,K6,K7,K9,L12,L14,L16,L18,L21,L23,L24,L6,L9,M1,M10,M12,M14,M16,M20,M22,M25,M3,M5,M7,N11,N12,N14,N17,N2,N20,N23,N26,N4,N6,N9,P1,P13,P16,P17,P21,P22,P26,P3,P9,Q11,Q12,Q15,Q19,Q2,Q23,Q4,Q5,Q7,R1,R12,R14,R16,R18,R20,R25,R3,R5,R6,R8
426,405,405,46,377,377,46,2663,28,406,406,391,406,408,9999,403,9999,406,406,385,76,776,13,46,46,46,390,9999,298,312,312,308,308,311,678,346,692,802,650,595,249,683,402,801,760,654,325,475,325,699,,327,282,282,282,282,320,800,402,249,715,595,90,53,357,714,677,607,729,356,722,724,205,722,722,391,391,391,391
428,407,407,48,379,379,48,2665,30,408,408,393,408,409,9999,404,9999,408,408,386,78,778,15,48,48,48,392,9999,300,315,315,312,310,313,679,347,693,803,651,596,250,684,403,802,762,655,327,477,327,701,,329,284,284,284,284,321,801,403,250,717,596,91,54,358,716,679,609,731,358,724,732,4,724,724,393,393,393,393
436,408,408,49,380,380,49,2666,31,409,409,401,409,764,9999,13,9999,409,409,741,79,779,23,53,53,53,397,9999,305,318,674,315,315,321,680,348,298,188,652,597,251,685,404,803,770,656,332,483,333,707,,335,290,290,290,292,282,802,404,251,327,597,92,55,714,724,687,617,739,366,732,203,372,732,732,401,401,401,401
792,40,40,404,40,40,404,3021,386,46,46,757,764,766,9999,15,9999,46,46,743,434,1134,379,412,412,412,756,9999,664,674,675,674,674,677,311,704,306,190,325,953,607,327,760,188,306,308,691,841,691,1065,,693,648,648,648,648,290,311,760,607,329,953,448,411,722,1080,1043,973,13,14,203,204,373,307,307,13,13,13,13
793,42,42,406,42,42,406,3023,388,48,48,758,766,772,9999,23,9999,48,48,749,436,1136,380,413,413,413,757,9999,665,675,678,675,675,685,313,706,308,196,327,955,609,329,762,190,307,310,692,842,692,1066,,694,649,649,649,649,292,319,768,609,335,955,450,413,724,1081,1044,974,14,15,204,4,374,308,4,14,14,14,14
793,48,48,414,50,48,412,3031,394,54,54,765,772,1130,9999,379,9999,54,54,1107,442,1142,387,416,416,416,760,9999,668,678,363,678,678,364,318,712,664,189,332,960,614,334,767,195,314,315,,845,695,1069,,697,652,652,652,656,648,321,770,615,693,961,456,419,1080,1088,1051,981,21,22,4,372,,4,372,21,21,21,21
800,406,406,21,406,406,770,23,752,412,412,29,1130,1131,9999,380,9999,412,412,1108,14,1500,755,789,789,789,1133,9999,365,363,364,363,363,364,677,328,665,190,691,316,973,693,306,189,683,674,,1217,1067,315,,1069,336,336,336,336,649,677,306,973,694,316,814,777,1081,350,336,350,389,390,372,373,,372,373,389,389,389,389
1168,407,407,22,407,407,771,24,753,413,413,30,1131,1134,9999,383,9999,413,413,1111,15,1501,756,790,790,790,1134,9999,366,364,,364,364,365,678,329,668,193,692,317,974,697,307,190,683,675,,1220,2,318,,1072,339,339,339,337,652,678,307,974,697,317,815,778,1084,351,337,351,390,391,373,374,,373,374,390,390,390,390
1169,410,410,25,410,410,774,27,756,416,416,31,1134,,9999,755,9999,416,416,50,18,1504,757,,790,,,9999,366,364,,,364,,681,332,364,88,695,320,351,1070,310,193,684,678,,,,,,,,,,338,336,681,310,977,336,320,818,781,350,352,338,352,391,392,374,,,374,,391,391,391,391
1170,50,782,397,782,782,1146,399,50,788,788,,29,,9999,758,9999,788,788,51,390,89,,,,,,9999,,,,,,,364,704,367,91,0,693,352,1071,683,89,,363,,,,,,,,,,,339,363,682,350,339,692,57,41,353,,,,,,,,,,,,,,
,53,785,400,785,785,1149,402,53,791,791,,32,,9999,,9999,791,791,53,391,92,,,,,,9999,,,,,,,365,707,,,1,694,,,684,90,,364,,,,,,,,,,,,366,685,353,,695,60,44,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,393,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
